# ZTF Solar System Marshal CHECK_FMO output
# started at 2018-05-12 02:42:21+0000
# start_date                    = 20171001
# end_date                      = 20180510
# min motion rate (arcsec/sec)  = 0.16666666666666666
# limiting magnitude            = 21.0
# max uncertainty limit         = 60.0
#   object    date UT  filter   rate    sundist   geodist  vmag   ecllat  unc range	fracday      
#                              [''/s]     [AU]      [AU]          [deg]      ['']  	      
 2015 FV118  20180206   zr   0.212161   0.9671    0.0986  20.36 46.3111    2.9703  	525081
 2015 FV118  20180206   zr   0.212745   0.9674    0.0985  20.35 46.4154    2.9668  	556493
 2015 FV118  20180206   zr   0.212863   0.9674    0.0985  20.35 46.4403    2.9661  	564051
 2015 FV118  20180207   zr   0.223197   0.9761    0.0960  20.11 49.4542    2.8491  	492095
 2015 FV118  20180207   zr   0.223240   0.9761    0.0960  20.11 49.4605    2.8491  	494074
 2015 FV118  20180207   zr   0.223534   0.9762    0.0960  20.11 49.5068    2.8464  	508530
 2015 FV118  20180207   zr   0.223977   0.9765    0.0960  20.10 49.5896    2.8429  	534491
 2015 FV118  20180207   zr   0.224195   0.9766    0.0959  20.10 49.6411    2.8402  	550718
 2015 FV118  20180207   zr   0.224218   0.9766    0.0959  20.09 49.6474    2.8402  	552697
 2015 FV118  20180207   zr   0.224330   0.9767    0.0959  20.09 49.6802    2.8381  	562523
 2015 FV118  20180207   zr   0.224359   0.9768    0.0959  20.09 49.6899    2.8381  	566134
 2015 FV118  20180209   zr   0.237596   0.9941    0.0932  19.67 55.0628    2.4642  	465197
 2015 FV118  20180209   zr   0.237873   0.9943    0.0931  19.67 55.1134    2.4601  	486296
 2015 FV118  20180209   zr   0.238195   0.9948    0.0931  19.65 55.2515    2.4457  	545162
 2015 FV118  20180211   zr   0.236655   1.0120    0.0936  19.34 58.3722    1.9575  	473692
 2015 FV118  20180211   zr   0.236636   1.0121    0.0936  19.34 58.3822    1.9539  	486157
 2015 FV118  20180211   zr   0.236635   1.0121    0.0936  19.34 58.3826    1.9539  	486655
 2015 FV118  20180211   zr   0.236482   1.0123    0.0937  19.33 58.4033    1.9461  	513333
 2015 FV118  20180211   zr   0.236465   1.0123    0.0937  19.33 58.4048    1.9461  	515301
 2015 FV118  20180211   zr   0.236366   1.0124    0.0937  19.33 58.4122    1.9433  	525208
 2015 FV118  20180211   zr   0.236354   1.0124    0.0937  19.33 58.4129    1.9433  	526192
 2015 FV118  20180211   zr   0.236107   1.0126    0.0937  19.33 58.4264    1.9383  	544942
 2015 FV118  20180211   zr   0.235892   1.0127    0.0937  19.33 58.4355    1.9347  	557928
 2015 FV118  20180216   zr   0.179852   1.0534    0.1085  19.04 53.7705    1.1080  	374433
  2015 GF1   20171210   zr   0.169635   1.0206    0.0776  19.77 19.9797    0.7931  	165301
  2015 GF1   20171210   zr   0.169645   1.0205    0.0776  19.77 19.9921    0.7931  	170729
  2015 WA2   20171106   zg   0.301722   1.0064    0.0997  19.29 17.8236    0.9514  	253472
  2015 WA2   20171107   zg   0.273613   1.0158    0.1043  19.23 19.2469    0.8866  	107014
 2015 XE352  20180415   zr   0.172543   0.9998    0.0719  18.73 11.8233    0.9443  	166019
 2015 XE352  20180415   zr   0.172126   0.9997    0.0719  18.73 11.8154    0.9471  	184074
  2015 YT9   20171230   zg   0.183631   1.0508    0.1451  19.03 -44.8288   0.8372  	188113
  2015 YT9   20171230   zg   0.183555   1.0511    0.1452  19.03 -44.7701   0.8364  	208484
  2015 YT9   20171230   zg   0.183504   1.0513    0.1453  19.03 -44.7092   0.8350  	229375
  2015 YT9   20171231   zg   0.170714   1.0617    0.1509  19.02 -41.9128   0.7911  	209687
